valore,category_1,image_1,category_2,image_2,id_floritaly,id_actaplantarum,nome_com,link_imm,usi_attestati,wikipedia,wikispecies
Camelina sativa (L.) Crantz,Brassicaceae,Brassicaceae.png,Camelina sativa,Camelina.png,12618,512618,"Dorella coltivata, Camelina coltivata",https://www.actaplantarum.org/z_forum/immag/imm.php?i=351728,Nessun utilizzo noto,https://it.wikipedia.org/wiki/Camelina_sativa,https://species.wikimedia.org/wiki/Camelina_sativa
Camelina sativa (L.) Crantz subsp. sativa,Brassicaceae,Brassicaceae.png,Camelina sativa,Camelina.png,1521,501521,"Dorella coltivata, Camelina coltivata",https://www.actaplantarum.org/z_forum/immag/imm.php?i=351728,Entità officinale; Uso cosmetico profumiero; Uso industriale,https://it.wikipedia.org/wiki/Camelina_sativa,https://species.wikimedia.org/wiki/Camelina_sativa
Cardamine sp.,Brassicaceae,Brassicaceae.png,Cardamine sp.,Cardamine.png,,,,,,https://it.wikipedia.org/wiki/Cardamine,https://species.wikimedia.org/wiki/Cardamine
Myagrum sp.,Brassicaceae,Brassicaceae.png,Myagrum sp.,Myagrum.png,,,,,,https://en.wikipedia.org/wiki/Myagrum,https://species.wikimedia.org/wiki/Myagrum
Neslia paniculata (L.) Desv. subsp. thracica (Velen.) Bornm.,Brassicaceae,Brassicaceae.png,Neslia paniculata,Neslia.png,1530,501530,"Neslia apicolata, Neslia della Tracia",https://www.actaplantarum.org/z_forum/immag/imm.php?i=280033,Nessun utilizzo noto,https://en.wikipedia.org/wiki/Neslia_paniculata,https://species.wikimedia.org/wiki/Neslia_paniculata
Raphanus raphanistrum L. subsp. raphanistrum,Brassicaceae,Brassicaceae.png,Raphanus raphanistrum,Raphanus.png,1688,501688,Ravanello selvatico,https://www.actaplantarum.org/z_forum/immag/imm.php?i=672966,Entità commestibile,https://it.wikipedia.org/wiki/Raphanus_raphanistrum,https://species.wikimedia.org/wiki/Raphanus_raphanistrum
Sinapis sp.,Brassicaceae,Brassicaceae.png,Sinapis,Sinapis.png,,,,,,https://it.wikipedia.org/wiki/Sinapis,https://species.wikimedia.org/wiki/Sinapis
Brassica/Sinapis sp. ,Brassicaceae,Brassicaceae.png,Brassica/Sinapis sp. ,Brassica_Sinapis.png,,,,,,,
Buxus sempervirens L.,Buxaceae,Buxaceae.png,Buxus sempervirens,Buxus.png,3059,503059,"Bosso comune, Bosso",https://www.actaplantarum.org/z_forum/immag/imm.php?i=37293,Entità officinale; Uso cosmetico profumiero; Uso artigianale,https://it.wikipedia.org/wiki/Buxus_sempervirens,https://species.wikimedia.org/wiki/Buxus_sempervirens
Cannabis sativa L.,Cannabaceae,Cannabaceae.png,Cannabis sativa,Cannabis.png,296,500296,"Canapa comune, Canapa coltivata",https://www.actaplantarum.org/z_forum/immag/imm.php?i=92631,Entità officinale; Uso cosmetico profumiero; Uso artigianale,https://it.wikipedia.org/wiki/Cannabis_sativa,https://species.wikimedia.org/wiki/Cannabis_sativa
